City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Geraldton,AU,2021-05-25 22:36:20,-28.7667,114.6,52.21,71,75,15.3
117,Bereda,ES,2021-05-25 22:36:21,43.2686,-7.5406,51.91,94,100,3.18
118,Faya,SA,2021-05-25 22:32:40,18.3851,42.4509,69.91,40,40,3.74
119,Lompoc,US,2021-05-25 22:33:03,34.6391,-120.4579,83.37,61,1,19.57
120,Port-Gentil,GA,2021-05-25 22:36:22,-0.7193,8.7815,82.36,83,75,12.66
121,Sur,OM,2021-05-25 22:36:22,22.5667,59.5289,91.27,41,0,11.25
122,Atuona,PF,2021-05-25 22:32:46,-9.8,-139.0333,80.01,62,25,13.73
123,Asau,RO,2021-05-25 22:36:23,46.4333,26.4,59.76,100,28,4.56
124,Vao,NC,2021-05-25 22:36:23,-22.6667,167.4833,71.44,61,19,15.82
125,Moose Factory,CA,2021-05-25 22:36:24,51.2585,-80.6094,82.4,41,1,19.57
126,Manuk Mangkaw,PH,2021-05-25 22:36:25,4.8,119.85,83.44,69,73,2.48
127,Bayan,CN,2021-05-25 22:36:25,46.0833,127.4,56.52,36,55,7.58
128,Solnechnyy,RU,2021-05-25 22:36:26,50.7214,136.6319,35.49,90,100,6.11
129,Namatanai,PG,2021-05-25 22:36:26,-3.6667,152.4333,78.37,89,100,6.04
130,Betsiamites,CA,2021-05-25 22:36:27,48.9413,-68.646,64.8,97,100,12.62
131,Vaitape,PF,2021-05-25 22:36:27,-16.5167,-151.75,81.05,71,72,11.23
132,Mahebourg,MU,2021-05-25 22:36:28,-20.4081,57.7,71.89,88,20,2.3
133,Goundam,ML,2021-05-25 22:36:28,16.4145,-3.6708,95.13,26,96,7.4
134,Kamenka,RU,2021-05-25 22:33:51,51.3223,42.7678,54.21,85,41,7.14
135,Bengkulu,ID,2021-05-25 22:31:37,-3.8004,102.2655,76.87,86,74,2.53
136,Nikolskoye,RU,2021-05-25 22:36:29,59.7035,30.7861,48.09,83,99,5.35
137,Saint George,US,2021-05-25 22:36:30,37.1041,-113.5841,91.63,10,1,1.99
138,Krasnoselkup,RU,2021-05-25 22:36:30,65.7,82.4667,29.86,65,15,7.94
139,Manga,BF,2021-05-25 22:36:31,11.6636,-1.0731,94.57,32,71,6.44
140,Los Llanos De Aridane,ES,2021-05-25 22:32:22,28.6585,-17.9182,64.15,81,0,18.05
141,Raga,SS,2021-05-25 22:36:31,8.4596,25.678,76.24,68,80,4.38
142,Puerto Del Rosario,ES,2021-05-25 22:35:14,28.5004,-13.8627,67.75,64,20,18.41
143,Watertown,US,2021-05-25 22:35:25,42.3709,-71.1828,81.25,54,1,3.0
144,Necochea,AR,2021-05-25 22:36:32,-38.5473,-58.7368,46.99,61,8,10.54
145,Acapulco,MX,2021-05-25 22:36:33,16.8634,-99.8901,89.42,45,75,11.1
146,Presidente Epitacio,BR,2021-05-25 22:36:33,-21.7633,-52.1156,66.87,35,81,2.73
147,Nanakuli,US,2021-05-25 22:36:34,21.3906,-158.1547,85.37,61,20,1.21
148,Hofn,IS,2021-05-25 22:36:34,64.2539,-15.2082,44.04,87,55,12.19
149,Artyom,AZ,2021-05-25 22:36:35,40.4723,50.333,64.54,88,100,29.73
150,Qasigiannguit,GL,2021-05-25 22:36:35,68.8193,-51.1922,35.85,81,23,5.59
151,Eyrarbakki,IS,2021-05-25 22:36:36,63.863,-21.1481,48.25,89,85,16.8
152,Sorland,NO,2021-05-25 22:36:37,67.667,12.6934,42.78,75,0,23.44
153,Mount Gambier,AU,2021-05-25 22:36:37,-37.8333,140.7667,51.71,66,75,16.11
154,Tucurui,BR,2021-05-25 22:33:24,-3.7661,-49.6725,79.5,77,43,1.45
155,Buala,SB,2021-05-25 22:36:38,-8.145,159.5921,81.61,81,99,13.15
156,Port Elizabeth,ZA,2021-05-25 22:36:38,-33.918,25.5701,61.09,88,0,11.5
157,Atar,MR,2021-05-25 22:36:39,20.5169,-13.0499,88.27,17,55,13.44
158,Te Kauwhata,NZ,2021-05-25 22:36:39,-37.4,175.15,56.75,54,36,7.29
159,Coos Bay,US,2021-05-25 22:33:27,43.3665,-124.2179,65.86,81,90,11.5
160,Cabo San Lucas,MX,2021-05-25 22:36:40,22.8909,-109.9124,96.51,35,20,5.75
161,Peniche,PT,2021-05-25 22:36:40,39.3558,-9.3811,62.74,85,100,18.12
162,Viedma,AR,2021-05-25 22:35:47,-40.8135,-62.9967,47.32,45,34,3.67
163,Podlesnoye,RU,2021-05-25 22:36:41,51.8161,47.009,53.49,91,67,8.48
164,Grindavik,IS,2021-05-25 22:36:41,63.8424,-22.4338,48.15,76,75,27.0
165,Oudtshoorn,ZA,2021-05-25 22:36:42,-33.5907,22.2014,53.96,81,92,3.67
166,Porto Novo,BJ,2021-05-25 22:36:42,6.4965,2.6036,84.02,82,61,7.72
167,East London,ZA,2021-05-25 22:36:43,-33.0153,27.9116,64.87,87,61,10.74
168,Christchurch,NZ,2021-05-25 22:32:18,-43.5333,172.6333,50.92,87,3,5.01
169,Yulara,AU,2021-05-25 22:36:43,-25.2406,130.9889,44.44,57,62,5.75
170,Tazovskiy,RU,2021-05-25 22:36:44,67.4667,78.7,27.01,75,89,2.77
171,Mutare,ZW,2021-05-25 22:36:44,-18.9707,32.6709,47.23,84,0,1.39
172,Shatrovo,RU,2021-05-25 22:36:45,56.5167,64.6333,60.91,74,46,4.9
173,Kyra,RU,2021-05-25 22:36:45,49.5776,111.9753,44.1,70,93,11.83
174,Longyearbyen,SJ,2021-05-25 22:36:46,78.2186,15.6401,30.04,74,75,12.66
175,Monrovia,LR,2021-05-25 22:36:47,6.3005,-10.7969,73.17,81,100,6.53
176,Live Oak,US,2021-05-25 22:36:31,36.9836,-121.9805,79.79,51,1,1.99
177,Merauke,ID,2021-05-25 22:36:48,-8.4667,140.3333,78.3,76,39,14.23
178,Dingle,PH,2021-05-25 22:36:48,10.9995,122.6711,80.44,82,100,2.71
179,Lloydminster,CA,2021-05-25 22:36:49,53.2835,-110.0016,51.48,46,75,9.22
180,Malanje,AO,2021-05-25 22:36:49,-9.5402,16.341,59.07,56,13,1.48
181,Alice Town,BS,2021-05-25 22:36:50,25.7167,-79.3,76.42,69,17,19.48
182,Bandarbeyla,SO,2021-05-25 22:36:50,9.4942,50.8122,78.75,83,25,23.35
183,Birjand,IR,2021-05-25 22:36:51,32.8663,59.2211,70.27,14,0,6.91
184,Ketchikan,US,2021-05-25 22:36:51,55.3422,-131.6461,49.69,76,90,8.14
185,Luderitz,NA,2021-05-25 22:36:52,-26.6481,15.1594,61.54,70,0,7.0
186,Cayenne,GF,2021-05-25 22:36:52,4.9333,-52.3333,80.64,88,0,1.99
187,Warsaw,PL,2021-05-25 22:36:26,52.2298,21.0118,53.65,87,0,1.99
188,Gillette,US,2021-05-25 22:36:53,44.2911,-105.5022,67.12,35,75,8.01
189,Blythe,US,2021-05-25 22:32:45,33.6103,-114.5964,99.05,6,1,11.41
